Pantheon 2.0,,,,
,Name,Ren,P2,Notes
,Advanced Reflexes,E,A,basically free 5% damage with potentially annoying refresh
,Gun and Run,E,B,decent QoL refill perk on low mag weapons
,Superluminal Motion,E,D,"still worse than Restoration x1, niche to reproc outside of Well"
,,,,
Renegades,,,,
,Name,A&I,Ren,Notes
,The Martlet,N/A,S,"solid add clear pulse with double splash + utility, good frame"
,Corundum Hammer,N/A,A,"StL + EP kinetic replacement, solid perks for Strand too"
,The Immortal,E,B,"no good splash perk, has Attrition access"
,Cataphract GL3,B,A,bland expected Envious + BnS HGL
,Astral Horizon,E,D,still extremely outdated PvE perks
,Refurbished A499,N/A,N/A,"not enough comparison points, added to Other tab"
,Something Something,N/A,A,perks aren't amazing but Accelerated Assault bypasses agg mag
,Peculiar Charm,N/A,S,Multimach alternative with better damage and worse utility
,Horror's Least,F,S,"likely best Jolting pulse in the game, reload perks still untested"
,Motif-41,N/A,S,pretty solid all around but not a very strong specialist
,Evening SI4,N/A,S,"almost identical to Drang, just different frame"
,Psi Aeterna IV,N/A,N/A,"not enough comparison points, added to Other tab"
,Qua Vinctus IV,N/A,S,solid overall package with new Meganeura
,A Good Shout,N/A,N/A,"not enough comparison points, added to Other tab"
,Sarpedon-D,N/A,A,decent perks but lacks universal reload options
,Phoneutria Fera,B,A,underrated spread shot usefulness even with suboptimal perks
,Hawthorne's Field-Forged Shotgun,N/A,C,only really has Chill Clip for PvE
,Nox Sidereal IV,N/A,C,mediocre damage setup and okay roam combos
,Mos Athanor IV,N/A,C,alright double splash but worst frame and no diversity
,Compact Defender,N/A,S,best frame with best Void combo
,Uncivil Discourse,N/A,N/A,"not enough comparison points, added to Other tab"
,"M-17 ""Fast Talker""",N/A,S,"BiS kinetic slot PK SMG, otherwise decent"
,Modified B-7 Pistol,N/A,S,basically just better than Solemn Remembrance
,All or Nothing,N/A,S,Strand pulse but dynamic frame and double splash
,Zealous Ideal,N/A,A,better version of Ahab Char with improved overall package
,Bitter End,N/A,B,"awful reserves, perks limited by arc affinity"
,High Tyrant,N/A,S,no consistent Repulsor option but lethality seems good
,Voltaic Shade,N/A,S,"Jolting double splash option, interesting but untested"
,Conspiracy Honed,N/A,S,double damage perks + 30%? frame boost
,Sullen Claw,N/A,S,best light attack neutral Eager sword
,Eighty-Six,N/A,C,middling perks and worst frame
,Monody-44,N/A,A,"best Discord fusion, has Withering frame too"
,Riptide,S,S,basically Lionfish at home
,Oxygen SR3,N/A,B,mediocre archetype and okay perks
,Duty Bound,E,B,buffed Rampage and Bewildering per-kill blind
,Gizmo Weft,N/A,S,Mountaintop replacement that is also great for damage
,Permafrost,N/A,A,decent add clear perks but no strong arguments for S
,Action Item,N/A,A,"best Stasis synergy trace, not much else"
,Reghusk's Pledge,N/A,A,basically Reckless but a little different
,King Orfeo,N/A,A,just worse than Non-Denouement
,The Heron,N/A,S,BiS Void neutral + Techsec pairing glaive
,Fimbulwinter Stitch,N/A,A,similar to many other Arc sidearms in A tier
,Mistral Lift,S,S,not many perk changes
,Micromort,N/A,C,decent perks but held back by archetype
,Cusp Sempiternal,S,A,simply not as potent as Physic
,Haliaetus,S,B,Bray Legacy interaction nerfed
,,,,
,,,,
Ash & Iron,,,,
,Name,EoF,A&I,Notes
,Arcane Embrace,B,B,"Aggregate Charge is more consistent, still pretty similar though"
,Burden of Guilt,D,B,"Envious upgrade from old 1st column, better 2nd column too"
,Cusp Sempiternal,N/A,S,"Void Overshield to allies, excellent perks all around"
,Drang,N/A,S,"great perk pool, solid archetype, upgrade over Heliocentric"
,Everburning Glitz,N/A,A,definitely BiS kinetic auto
,Finite Impactor,F,D,"Heal Clip bad on HCs, no good splash in 2nd"
,Folded Root,N/A,B,"missed opportunity to showcase Cluster buff, awful 2nd column"
,Forced Memorializer,N/A,A,"new perk combo, unfortunate frame"
,Gunburn,N/A,A,"no AO + KT, solid otherwise, new kinetic perk combo"
,Haliaetus,N/A,A,"okay origin trait, decent perks (no Envious), sadly not right frame"
,Hushed Whisper,N/A,B,"has Tear access, good frame, held back by Strand limitations"
,MIDA Macro-Tool,N/A,B,"Grave + 12P on bad frame, no other relevant combos"
,MIDA Mini-Tool,N/A,S,basically Yeartide but slightly worse
,Romantic Death,N/A,A,solid perks but unfortunately wave frame
,Seraphine Haze,N/A,B,kill-hungry perks that have middling payoff
,Starscape Null,N/A,B,very odd perk pool for a lightweight
,Submersion,N/A,N/A,"no tiering yet, interesting add clear option"
,The Ever-Present,N/A,S,"great perk pool and archetype, just no Cascade + damage pairing"
,Unfall,N/A,A,worse than Indebted besides enhanceable Lead from Gold
,Outbreak Perfected,B,C,super generation nuked
,New Malpais,N/A,B,"solid total damage and dump potential, good for roam too"
,Aggregate Charge,N/A,S,new potentially BiS sustained damage perk
,Crystalline Corpsebloom,N/A,B,"surprisingly decent, like Headstone but no crit requirement"
,Ancillary Ordinance,N/A,B,"missile does pretty decent damage, very easy to stack"
,Bewildering Burst,N/A,C,"blinding GL capability on add clear weapon, low radius"
,Lead From Light,N/A,C,decent but special ammo progress isn't that valuable
,Collective Pugilism,N/A,D,decent melee on-hit but restrictive proc requirement
,Contending Cascade,N/A,B,"unrealistic killstreak requirement, stats are okay"
,,,,
The Edge of Fate,,,,
,Name,RotN,EoF,Notes
,Giver's Blessing,N/A,B,"best KT auto, but lacks utility in first column and decent origin"
,Intercalary,N/A,B,"solid Headstone auto, just not best frame, origin, or 2nd column"
,Auric Disabler,N/A,C,"BiS splash strand auto, mediocre frame and origin trait"
,Ahab Char,N/A,C,"good archetype and origin, very mediocre perks"
,Pre Astyanax IV,B,A,Incandescent + Burning Ambition great combo
,Fortunate Star,A,A,"BiS void bow, great splash perks, decent utility"
,Mercury-A,N/A,A,"unique Attrition + KT combo, not great otherwise"
,Aureus Neutralizer,N/A,S,"BiS legendary LP hand cannon, potentially decent neutral"
,Agape,N/A,A,good mix of LP damage and Incandescent
,Solemn Remembrance,N/A,A,easily best Headstone HC thanks to Firefly interaction
,Phoneutria Fera,N/A,B,"mediocre first column, but frame is hard-hitting with Incandescent"
,Stars in Shadow,F,A,"solid overall package, unfortunately high-impact frame"
,Last Thursday,N/A,D,"very mediocre and dated perk pool, okay archetype"
,Aisha's Embrace,N/A,S,"easily best void scout, interesting mixes of new void 3.0 perks"
,Jurisprudent,N/A,B,"okay Headstone package, bad frame"
,Sublimation,N/A,B,"bad frame, okay non-synergistic perks"
,Forgiveness,N/A,A,"probably best Voltshot sidearm, good frame, double damage"
,Faustus Decline,N/A,B,"decent frame, classic Headstone-paired perks"
,Yeartide Apex,N/A,S,"BiS solar SMG, great frame, okay origin, diverse perks"
,Antedate,N/A,A,best Jolting Feedback SMG + best PK DPS SMG
,Qua Nilus II,N/A,C,"Slice + classic strand-paired perks, decent frame"
,Theodolite,N/A,S,Reconstruction and relevant damage perks and unique in slot
,Festival Flight,N/A,S,fast Blast Distributor procs + better DPS than Lost Signal
,Finite Maybe,N/A,S,"solid perk pool, Discord+splash option, acquired taste frame"
,Lionfish-4fr,N/A,S,"excellent for damage and utility, best all-around pick"
,Pure Recollection,N/A,A,"more relevant damage perks for heavy burst, still not great frame"
,Precipial,N/A,B,"no reload perk 12P, bad frame, double damage perk though"
,Trachinus,N/A,C,"interesting Chill Clip utility roll, frame is likely questionable"
,Lance Ephemeral,N/A,S,"similar perk pool to Praedyth's, arguably worse origin"
,Shoreline Dissident,N/A,B,best void DPS sniper but extremely dated perk pool
,Returned Memory,N/A,S,"much more diverse perks vs. Aberrant, solid origin trait"
,Ribbontail,N/A,B,"no good utility perks, strange options"
,Outrageous Fortune,F,S,almost identical to VS Chill Inhibitor minus Cascade
,Boomslang-4fr,N/A,A,more updated / higher QoL Doomed Petitioner
,Ulterior Observation,N/A,S,solid frame mixed with great neutral perks
,Unwavering Duty,A,A,"perk upgrades all around, some unique combos"
,The When and Where,N/A,S,"BiS burst rocket, but worse origin generally vs. Hezen"
,Synanceia,N/A,S,most versatile high tier sword: Sharp/Eager/damage
,Aurora Dawn,N/A,A,"decent second column, Sharp Harvest interesting, no Relentless"
,A LOT OF STUFF,N/A,N/A,restructured tiers and shifted weapons a lot
,,,,
Rite of the Nine,,,,
,Name,SD,RotN,Notes
NEW ADDITIONS / REPRISES,Terminus Horizon,B,A,"now has Jolting Feedback and Rolling Storm, not perfect archetype"
,Cold Comfort,A,S,basically a no Timelost Magazine stasis Hezen
,New Pacific Epitaph,B,A,upgraded with Chain Reaction and Gravity Well option
,Greasy Luck,C,S,"enhanceable, upgraded perks in both columns"
,No Survivors,B,A,"Attrition + Heal Clip access in first column, Gravity Well decent too"
,Long Arm,C,C,barely any perk changes
,Wilderflight,B,A,BiS double fire swap DPS and blinding BGL
,Liminal Vigil,B,B,not significantly different from original
,Judgment,D,D,not significantly different from original
,Relentless,E,B,double splash perks thanks to Firefly in first column
,Prosecutor,B,B,"now has Dragonfly/Voltshot combo, but not enough to break A"
,Cruel Mercy,N/A,A,no Jolting Feedback; Dragonfly/Rolling is fine
,Nature Reclaimed,N/A,A,"Heal Clip/Incandescent lightweight, has StL/EP too"
,A Sudden Death,B,S,double damage perks + Discord w/ high single target special
,The Inquisitor,D,C,underrated last patch
,Gravity Well,N/A,C,"too niche to be high tier, range is a little underwhelming"
,New Land Beyond,N/A,C,good for solo/ammo-restricted contexts against precision targets
,Lord of Wolves,N/A,S,"added to list post-nerf, very strong in most content"
ADJUSTMENTS,Multimach CCX,A,S,underrated last patch
,Embraced Identity,C,B,passed over Redirection potential
,Relentless Strikes,S,C,patched interaction with Wolfpack Rounds
,,,,
Sundered Doctrine,,,,
,Name,S26,SD,Notes
NEW ADDITIONS / REPRISES,Unvoiced,N/A,S,they put Redirection and BnS on a slug
,Unworthy,N/A,S,Firefly + Voltshot + rapid + best primary origin trait ever
,Unsworn,N/A,S,"first StL kinetic slot trace, great origin trait, Detonator Beam"
,Unloved,N/A,A,Warden's Law except OP origin trait and 40% buff
,Keraunios,N/A,A,basically Warlord's Spear with Rolling Storm
,Finality's Auger,N/A,G,gimmicky mechanic that does poor damage and mediocre splash
,Lodestar,N/A,G,"only truly effective on a weak subclass, not very potent splash"
,Barrow-Dyad,N/A,F,"decently strong on-hit seekers, will need more info on traits"
,Subjugation,N/A,S,"free Explosive Payload, applies exhaustion with no requirement"
,Willing Vessel,N/A,B,damage dealt/kill Bitterspite replacement
,Timelost Magazine,N/A,S,easily best overflow/refill origin trait by far
,Paracausal Fluid,N/A,D,like Hot Swap but for dealing damage
,Elemental Honing,N/A,S,best setup sustained DPS perk in the game
,Reciprocity,N/A,B,worse version of Physic for non-solar support frames
,Detonator Beam,N/A,C,solid 2nd perk for Cenotaph users looking to chip at majors
,Rolling Storm,N/A,D,"only weapon-based Bolt Charge kickstarter, just okay for neutral"
,Demoralize,N/A,E,splash debuff not very useful in most scenarios
,Tear,N/A,E,splash debuff not very useful in most scenarios
,Recycled Energy,N/A,F,worse than mainstream ability regen perks and requires reload
,Melee Momentum,N/A,F,niche Immovable Object alternative for melee-centric builds
ADJUSTMENTS,Redirection,E,A,"insane buff, has crazy potential for 2x damage on DPS weapons"
,Repulsor Brace,E,B,didn't update properly after Void Overshield DR buff
,The Title,S,S,"similar perk pool, just removed Attrition Orbs"
,Taraxippos,C,C,"similar perk pool, just removed Gutshot Straight"
,Hullabaloo,C,B,"Envious Arsenal now in pool, plus OFA relevant on Raneiks"
,Dimensional Hypotrochoid,D,C,OFA relevant on Raneiks
,New Pacific Epitaph,C,B,Redirection buff
,No Hesitation,med,high,underrated utility in low power content
,Sunshot,high,med,exotic heavies much more common for contest-type content
,Leviathan's Breath,high,med,consistent heavies in this category are overshadowed by others
,The Queenbreaker,N/A,high,better consistent heavy than Whisper
,Unloved,N/A,low,replaced Warden's Law as BiS kinetic LP HC
,Praedyth's Revenge,N/A,med,replaced The Supremacy as BiS kinetic damage sniper
,Hezen Vengeance,low,high,rockets > HGLs for burst
,VS Chill Inhibitor,high,med,HGL nerf
,Tinasha's Mastery,high,med,not absolutely essential compared to other high-tier legendaries
,Word of Crota,med,med,replaced Heliocentric post-Destabilizing buffs
,Storm's Keep,A,S,significantly better than expected pre-release
,,,,
Episode: Heresy,,,,
,Name,S25,S26,Notes
NEW ADDITIONS / REPRISES,Keen Thistle,N/A,A,low utility but decent perks and best Envious sniper
,The Inquisitor,F,D,"great damage perks in 2nd column, nerfed 1st column"
,Warlord's Spear,N/A,A,"good splash potential in 2nd column, okay 1st column"
,Lotus-Eater,N/A,S,"similar perk combo to Aberrant, worse origin trait"
,Cynosure,N/A,S,good archetype + Envious Arsenal + Elemental Honing
,Backfang,N/A,A,decent mix of perks and decent archetype
,Boondoggle Mk. 55,N/A,E,"clearly meant for PvE, best PvE perks are extremely dated"
,Joxer's Longsword,N/A,S,Gridskipper but heavy burst frame and worse origin trait
,Hollow Words,N/A,E,"awful perks overall, mediocre frame"
,Abyssal Edge,N/A,A,generally worse than Summum Bonum
,Cold Denial,N/A,F,high-impact with awful and outdated PvE perks
,Eyes Unveiled,N/A,C,generally unremarkable besides being first Discord heavy
,Whispering Slab,N/A,E,no modern 2nd column perks
,Found Verdict,D,B,Trench Barrel + Discord + new origin trait
,Qua Furor V,N/A,B,solid archetype and origin trait ruined by mediocre perks
,Watchful Eye,N/A,S,good archetype + decent origin trait + first Jolting Feedback LMG
,Cruoris FR4,N/A,B,"has some usable damage options, but perk combos aren't great"
,False Promises,N/A,C,basically Herod-C v2 with enhanceable perks but no Häkke
,Temptation's Hook,F,F,didn't fix low impact
,Resounding,N/A,C,only add clear perks on a mediocre archetype
,Afterlight,N/A,A,first adequately-equipped Discord fusion
,Hezen Vengeance,B,S,best DPS rocket in the game
,Refusal of the Call,N/A,A,"first Discord glaive, passable otherwise"
,The Palindrome,N/A,C,underwhelming perks given current HC competition
,Adamantite,N/A,A,"lack of Restoration, interesting combatant damage reduction"
,Division,N/A,A,"basically Anonymous Autumn v2 but better archetype, worse origin"
,Redrix's Estoc,N/A,C,almost identical to most recent Stay Frosty version
,Anamnesis,N/A,A,"BiS Void bow, options for splash and utility"
,Exalted Truth,N/A,A,classic Void 3.0 combo + bad origin + decent archetype
,Peacebond,N/A,B,similar viability to nearby Kinetic Tremors/Hatchling options
,Vision of Confluence,N/A,A,lower utility but higher lethality than neighboring Hung Jury
,Corrective Measure,S,S,"still top-tier, but more unique perk combinations"
,Admetus-D,N/A,C,no splash perk even if utility is alright
,Psychopomp,N/A,S,"first area denial with overflow potential, Envious for damage as well"
,Fatebringer,N/A,A,almost identical to Midnight Coup now
,Praedyth's Revenge,B,S,FTTC + BnS not much more to say really
,Mirror Imago,N/A,E,Hatchling SMG without anything else particularly noteworthy
,On the Prowl,N/A,B,"lack of invisibility control is not ideal, but good crowd control"
,Storm's Keep,N/A,A,potentially very nice addition to fireteam damage scenarios
,Ionic Sentry,N/A,B,more refreshable and better CC version of Hellion/Bleak Watcher
ADJUSTMENTS,Choir of One,low,high,Destabilizing Rounds buff + extremely versatile
,Aberrant Action,high,med,energy rocket sidearm not as needed in endgame content
,Veleda-F,med,low,perk-based weaken not that important
,Critical Anomaly,med,low,hitscan Overload stun not relevant in most content
,Lost Signal,med,high,underrated universal presence of darkness build in sandbox
,Buried Bloodline,low,med,underrated subclass-agnostic Devour access
,Cloudstrike,low,med,underrated total damage exotic specials (especially post-buff)
,The Mountaintop,low,med,"more versatile role than just movement, deserves Eager tier"
,Veleda-F,S,A,overrated Withering Gaze utility potential
,Sovereignty,S,A,overrated Withering Gaze utility potential
,Arcane Embrace,S,A,overrated heavy burst frame potential
,Someday,A,B,precision frame holds it back too much
,Tinasha's Mastery,A,S,rocket sidearm role shift toward utility over raw splash
,Qua Xaphan V,C,A,Destabilizing Rounds buff
,Hammerhead,A,S,Destabilizing Rounds buff
,Planck's Stride,D,C,better overall perk combo + archetype than other D options
,Crux Termination IV,S,A,replaced by Cynosure in every role
,Retraced Path,S,A,not as versatile as buffed Destabilizing Chronophage
,Apex Predator,S,A,"no Envious Arsenal, S tier is a firm grouping at this point"
,Tomorrow's Answer,S,A,"high-impact frame, Bipod swapping patched"
,Liturgy,S,A,overrated last season; generally sort of niche
,Choir of One,A,S,Destabilizing Rounds buff + extremely versatile
,Cloudstrike,C,B,Bolt Charge interaction buff
,The Prospector,C,D,overrated damage potential on most boss models
,D.A.R.C.I.,F,B,massive buffs (both to self and team)
,Dead Messenger,F,E,30% damage means more competitive vs. legendaries
,Vexcalibur,F,E,full energy on OS melee kill means infinite OS melee loop
,Skulking Wolf,F,D,deaggro effect buff
,Frenzy,A,B,effect not as valuable or slot-efficient in modern sandbox
,Attrition Orbs,B,A,"not nerfed on Velocity Baton, provably good on other weapons"
,Destabilizing Rounds,D,A,"ICD significantly reduced, Volatile Rounds added"
,Flash Counter,G,E,disorienting effect more useful given easier activation condition
,Adaptive Munitions,E,G,stealth nerf from 450% scaling to 50%
,Facet of Balance,C,B,"swapped places with Awakening, more frequently used"
,Facet of Awakening,B,C,"swapped places with Balance, less frequently used"
,Spark of Volts,H,G,Bolt Charge instead of essentially useless effect
,Spark of Momentum,H,G,Bolt Charge instead of essentially useless effect
,Spark of Frequency,G,B,faster stacking effect similar to other B fragments
,Electrostatic Mind,B,A,Ionic Trace spam enabling more relevant post-Arc buff
,,,,
Festival of the Lost 2024,,,,
,Name,VH,FotL,Notes
PERKS,Adagio,G,E,underrated single shot potential on certain weapon types
,Adrenaline Junkie,D,E,overrated uptime on grenades and perk duration
