WEAPON,,INFO,,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,Shield,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Ecliptic Distaff,29,Void,Adaptive,Solo Ops,,41,47,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Repulsor Brace
Disruption Break
Immovable Object","Chaos Reshaped
Close to Melee
Withering Gaze",Vanguard Determination,"better general use case origin than Heron, also has Chaos access and Withering Gaze for some reason",1,S
,The Heron,28,Void,Aggressive,Tenet of Bravery,,52,39,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Repulsor Brace
Disruption Break
Overflow","Redirection
Close to Melee
Unrelenting","Nail, Meet Hammer","excellent synergy with Suppressing Glaive for stacking Void Overshield with block DR, has melee combo",2,S
,Forthcoming Deviance,29,Void,Rapid,Savation's Edge,,65,28,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Repulsor Brace
Disruption Break
Reconstruction","Chaos Reshaped
Close to Melee
Destabilizing Rounds",Collective Purpose,basically just worse than top 2 glaives due to frame and origin,3,S
,Refusal of the Call,29,Strand,Adaptive,Pit of Heresy,,44,44,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Slice
Close to Melee
Chain Reaction","Chaos Reshaped
Replenishing Aegis",Heretical Behavior,"probably best kinetic slot defensive glaive, Slice + Chaos is great and has 2 origins for roam vs. boss",4,S
,Rake Angle,29,Stasis,Aggressive,Zavala,,31,42,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Overflow
Lead from Gold
Rimestealer","Chill Clip
Close to Melee",Problem Solver,"Chill Clip surprisingly useful for acting as a damage perk, good QoL otherwise + origin for elite+",5,S
,Lubrae's Ruin,29,Solar,Adaptive,Vow of the Disciple,,40,40,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Close to Melee
Frenzy
Immovable Object","Chaos Reshaped
Surrounded
Unrelenting",Souldrinker,"lacks some defensive utility, Souldrinker doesn't work on melee hits and thus has low uptime",6,A
,Nezarec's Whisper,29,Arc,Adaptive,Presage,,50,42,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Demolitionist
Lead from Gold
Impulse Amplifier","Frenzy
Adaptive Munitions",Extrovert,"very outdated perk pool, but Extrovert is pretty decent and still defensively functions",7,A
,Judgment of Kelgorath,29,Solar,Aggressive,Seraph's Shield,,35,25,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Overflow
Demolitionist
Pugilist","Close to Melee
Surrounded
Wellspring",Ambush,Demo/Pugilist + Wellspring is one of the highest ability chunk regen sources in the game,8,A
,The Enigma,29,Void,Adaptive,The Enclave,,45,45,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Grave Robber
Lead from Gold","Close to Melee
Unrelenting",Psychohack,"still usable despite dated perk pool, Psychohack is great to have on a defensive tool",9,A
,Greasy Luck,29,Solar,Rapid,Ghosts of the Deep,,64,18,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Chaos Reshaped
Reconstruction
Heal Clip","Close to Melee
Chain Reaction
Incandescent",Restoration Ritual,sacrifices too much in shield duration for having essentially the same roll as Lubrae,10,A
,"Greasy Luck
RotN version",26,Solar,Rapid,Rite of the Nine,,64,18,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Reconstruction
Lead from Gold
Heal Clip","Close to Melee
Redirection
Incandescent",Gravity Well,"has some utility as an LFG + Gravity Well ammo pickup option, otherwise outclassed",11,A
,Albedo Wing,29,Arc,Aggressive,Tenet of Bravery,,35,30,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Grave Robber
Strategist
Air Trigger","Close to Melee
Demolitionist
Lead from Gold",Dawning Surprise,"worse overall than Kelgorath for chunk gains, other perks not great",12,B
,Backfang,29,Arc,Rapid,Gambit,,65,27,Yes,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Immovable Object
Lead from Gold
Impulse Amplifier","Close to Melee
Surrounded
Unrelenting",Gun and Run,"very mediocre overall, worst frame and no special perks or origin",13,B
,Unexpected Resurgence,21,Arc,Adaptive,Trials,,51,50,No,Auxiliary Reserves,"Alloy Magazine
Swap Mag","Auto-Loading Holster
Impulse Amplifier","Close to Melee
Frenzy
Surrounded",Alacrity,ALH is rare on a glaive but nothing else here really stands out besides high shield duration,14,B