WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Unforgiven,29,Void,Aggressive,Duality,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Destabilizing Rounds
Attrition Orbs","Repulsor Brace
Chaos Reshaped
Dimensional Shift",Bitterspite,"double stagger, AO + Repulsor + artifact-supported volatile, high reload uptime origin",1,S
,Multimach CCX,29,Kinetic,Lightweight,Iron Banner,,64,Yes,Fluted Barrel,Alloy Magazine,"Attrition Orbs
Bewildering Burst
Stopping Power",Kinetic Tremors,Skulking Wolf,"classic AO + KT combo, good frame, solid origin, not particularly splashy though",2,S
,The Recluse,29,Void,Lightweight,Onslaught,,67,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Dimensional Shift","Destabilizing Rounds
Chaos Reshaped",Indomitability,"would be the best SMG in the game with Attrition Orbs, still very solid neutral combos and origin though",3,S
,Bug-Out Bag,29,Void,Adaptive,Gambit,,42,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Attrition Orbs","Destabilizing Rounds
Collective Action",Gun and Run,downgrade from other S tier SMGs except the barrier intrinsic,4,S
,"M-17 ""Fast Talker""",28,Stasis,Balanced,Lawless Frontier,,69,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,Attrition Orbs,Crystalline Corpsebloom,Accelerated Assault,stasis-focused Multimach alternative with better mag uptime,5,S
,Yeartide Apex,27,Solar,Lightweight,Tenet of Bravery,,69,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip","Incandescent
Chaos Reshaped
Burning Ambition",Tex Balanced Stock,"Multimach equivalent in the energy slot, just worse origin trait and no KT equivalent",6,S
,MIDA Mini-Tool,29,Solar,MIDA Synergy,"Tenet of Bravery, Banshee",,70,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip","Incandescent
Burning Ambition",Vanguard Determination,less perk diversity than Yeartide but arguably better origin trait,7,S
,Submission,29,Kinetic,Lightweight,Vow of the Disciple,,65,Yes,Fluted Barrel,Alloy Magazine,Kinetic Tremors,Chaos Reshaped,Souldrinker,"novel perk combo but no AO utility, good origin though",8,S
,Vikala SMG4,29,Void,Balanced,SRL,,66,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,Dimensional Shift,"Destabilizing Rounds
Attrition Orbs
Chaos Reshaped",Omolon Fluid Dynamics,"no Repulsor but Dimensional is decent if artifact-supported, bad origin but good otherwise",9,A
,The Title,29,Void,Aggressive,Tenet of Bravery,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Repulsor Brace,"Destabilizing Rounds
Surrounded",Classy Contender,strict downgrade from Unforgiven,10,A
,Every Waking Moment,29,Void,Precision,Moon,,21,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Destabilizing Rounds","Meganeura
Demoralize",Loss,can take Repulsor + Meganeura + artifact volatile for a pretty potent combo despite poor origin/frame,11,A
,No Survivors,29,Solar,Aggressive,Ghost of the Deep,,32,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Burning Ambition
Heal Clip",Incandescent,Restoration Ritual,"only SMG with Burning + Incandescent, otherwise origin isn't great and frame is suboptimal",12,A
,Parabellum,29,Solar,Adaptive,EDZ,,44,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Heal Clip,"Incandescent
Attrition Orbs
Burning Ambition",Veteran's Wisdom,"great new origin trait, classic solar sustain combos, has HC + AO in separate slots",13,A
,Imminence,29,Strand,Lightweight,Salvation's Edge,,70,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Tear
Slice","Chaos Reshaped
Hatchling
Firefly",Collective Purpose,"good frame, decent double splash/utility, bad origin though",14,A
,Shayura's Wrath,29,Void,Precision,Trials,,24,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Demoralize","Destabilizing Rounds
Master of Arms",Nadir Focus,has core void combo but origin trait is terrible and frame is too,15,A
,Synchronic Roulette,29,Strand,Precision,Neomuna,,24,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Attrition Orbs,"Chaos Reshaped
Hatchling",Nanotech Tracer Missiles,"besides frame, excellent single target SMG setup",16,A
,Peculiar Charm,28,Kinetic,Aggressive Burst,Competitive,,43,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Attrition Orbs
Stopping Power
Shoot to Loot","Kinetic Tremors
Firefly",None,"double stagger via Stopping Power, unique option but worse with AO than Multimach",17,A
,"No Survivors
RotN version",26,Solar,Aggressive,Rite of the Nine,,32,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip",Incandescent,Gravity Well,"better origin than original, but no unique Burning Ambition roll",18,A
,Adjudicator,29,Kinetic,Precision,Prophecy,,30,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Attrition Orbs,Kinetic Tremors,Crossing Over,"classic AO + KT combo, but bad frame means slower AO procs, no perk diversity, bad origin",19,A
,Noxious Vetiver,25,Arc,Precision,"Xur, Kell's Fall?",,22,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Attrition Orbs,Jolting Feedback,Dark Ether Reaper,"similar situation as Adjudicator, bad frame but great perk combo, solid origin",20,A
,Out of Bounds,29,Arc,Lightweight,Crucible,,47,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Voltshot
Demolitionist",Jolting Feedback,Accelerated Assault,"double splash on arc, no sustain but high mag uptime due to origin\",21,A
,Gunburn,27,Kinetic,Lightweight,Tenet of Bravery,,60,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Bewildering Burst
Lead from Light","Kinetic Tremors
Ancillary Ordinance",Veist Stinger,"questionable first column, otherwise decent besides origin being a little underwhelming",22,A
,Forensic Nightmare,29,Stasis,Precision,Throne World,,24,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Rimestealer",Crystalline Corpsebloom,Psychohack,arguably better than Unending Tempest due to origin trait and high-cal access,23,A
,Unending Tempest,29,Stasis,Precision,Crucible,,44,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Attrition Orbs,"Crystalline Corpsebloom
Chaos Reshaped
Headstone",Accelerated Assault,"AO + splash and potentially also Chaos option, bad frame but otherwise quite good",24,A
,Perfect Pitch,29,Solar,Precision,Solo Ops,,21,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Heal Clip,Incandescent,Vanguard Determination,"worst frame and very one-dimensional, but still has core solar sustain combo",25,A
,DEADHORSE 04,29,Stasis,Adaptive,Distortions,,43,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Rimestealer
Impromptu Ammunition",Crystalline Corpsebloom,Carrion Munitions,basically a slightly better Seraphine Haze,26,A
,Seraphine Haze,27,Stasis,Aggressive,"Tenet of Bravery, Zavala",,36,Yes,Fluted Barrel,Alloy Magazine,Rimestealer,Crystalline Corpsebloom,Tenacity,"classic stasis combo, Crystalline more appropriate on SMG, decent frame and good origin",27,A
,Antedate,27,Arc,Adaptive,Desert Perpetual,,42,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Rolling Storm
Dragonfly
Rewind Rounds",Jolting Feedback,Frame of Reference,"weaker double splash, decent origin and frame",28,B
,The Hero's Burden,29,Void,Adaptive,Iron Banner,,43,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Feeding Frenzy,"Destabilizing Rounds
Kill Clip",Skulking Wolf,"better splash perk than Voltshot SMGs, worse reload but decent frame and solid origin",29,B
,Whatchamacallit,29,Arc,Aggressive Burst,Pinnacle Ops,,42,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Collective Pugilism
Enlightened Action","Jolting Feedback
Gear Shift",Accelerated Assault,"solid frame, great origin, has JF access, only downside is bad 1st column",30,B
,The Showrunner,22,Kinetic,Lightweight,Xur,,64,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Overflow,Kinetic Tremors,Vanguard's Vindication,"no AO, but still a lightweight with KT",31,B
,Death Adder,29,Solar,Lightweight,"World, Banshee",,63,Yes,Fluted Barrel,Alloy Magazine,Heal Clip,Burning Ambition,Veist Stinger,"Burning Ambition only notable SMG 2nd column perk, so a little niche, otherwise okay kit",32,B
,Subjunctive,29,Arc,Lightweight,Starcrossed,,63,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Threat Detector
Shoot to Loot",Voltshot,Nano-Munitions,"reload perk + decent splash, great origin, good frame",33,B
,IKELOS_SMG_V1.0.3,29,Arc,Aggressive,Seraph's Shield,,45,Yes,"Fluted Barrel
Arrowhead Brake",Seraph Rounds,"Threat Detector
Shoot to Loot",Voltshot,Rasputin's Arsenal,"worse frame than Subjunctive, also worse origin, but still pretty decent",34,B
,Seventh Seraph VY-7,29,Arc,Precision,Cosmodrome,,30,Yes,"Fluted Barrel
Arrowhead Brake",Seraph Rounds,"Trickle Charge
Ambitious Assassin",Jolting Feedback,Eyes Up,probably worst overall JF SMG,35,B
,The Immortal,28,Strand,Aggressive,Trials,,37,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Slice
Hatchling",Master of Arms,Field-Tested,"might be the worst AO SMG, extremely disappointing second column, otherwise fine",36,B
,CALUS Mini-Tool,29,Solar,MIDA Synergy,Presage,,70,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Unrelenting
Threat Detector",Incandescent,To Excess,"no sustain perk in left column, bad origin, otherwise decent Incandescent SMG",37,B
,Qua Nilus II,27,Strand,Adaptive,"Tenet of Bravery, Zavala",,50,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Slice,"Hatchling
Surrounded",Wild Card,"weakest 3.0 splash effect on an SMG, has Slice and decent origin/frame though",38,B
,Mirror Imago,26,Strand,Adaptive,Xur,,36,Yes,Fluted Barrel,Alloy Magazine,"Pugilist
Grave Robber",Hatchling,Runneth Over,"bad 1st column and decent origin, frame is fine, worse than Qua Nilus overall",39,C
,Prolonged Engagement,29,Stasis,Lightweight,Fireteam Ops,,60,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Demolitionist,Headstone,Accelerated Assault,"awful 1st column, great frame and origin trait though",40,C
,Yarovit MG4,24,Stasis,Lightweight,Banshee,,49,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Air Trigger
Enlightened Action","Headstone
Collective Action
Surrounded",Omolon Fluid Dynamics,worse origin and arguably first column vs. Prolonged,41,C
,Blood Feud,29,Stasis,Aggressive,Xur,,31,Yes,Fluted Barrel,Alloy Magazine,"Pugilist
Grave Robber",Headstone,Right Hook,"worse 1st column, frame, and origin than Yarovit",42,C
,Rapacious Appetite,29,Stasis,Aggressive,Xur,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Fourth Time's the Charm
Envious Assassin",Headstone,Unsated Hunger,"worse 1st column than Blood Feud, similar otherwise though besides double stagger",43,C
,Cold Front,23,Kinetic,Aggressive,?,,34,No,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Enlightened Action,"Attrition Orbs
Rampage",Dawning Surprise,"no real splash perk, okay origin and frame",44,D
,Borrowed Time,14,Solar,Aggressive,Gambit,,38,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Threat Detector
Grave Robber","Surrounded
Rampage",Field-Tested,"no utility perks, just reload + single target, decent origin and frame",45,D
,Funnelweb,16,Void,Lightweight,Banshee,,45,No,Fluted Barrel,Alloy Magazine,"Subsistence
Auto-Loading Holster","Frenzy
Adrenaline Junkie",Veist Stinger,"worse roam perks than Borrowed Time, but has better frame",46,D
,Escape Velocity,10,Kinetic,Lightweight,Xur,,70,No,IS 5 Circle,Alloy Magazine,"Threat Detector
Grave Robber",Surrounded,None,good frame but only has Surrounded for damage perk,47,D
,Friction Fire,12,Kinetic,Precision,"Xur, Dares",,22,No,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Field Prep
Threat Detector","Rampage
Unrelenting",None,has Field Prep for ammo but frame is bad and so is everything else,48,D
,Boondoggle Mk. 55,26,Kinetic,Aggressive,Banshee,,33,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Pugilist,Swashbuckler,Tex Balanced Stock,"terrible 1st and 2nd column despite weapon age, origin is just okay",49,D
,Stochastic Variable,14,Arc,Lightweight,Xur,,40,No,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Ambitious Assassin
Feeding Frenzy","Dragonfly
Multikill Clip",None,"mediocre 1st column, no really relevant single target perks in 2nd column, good frame though",50,D
,Extraordinary Rendition,13,Kinetic,Aggressive,"Xur, Dares",,35,No,Fluted Barrel,Alloy Magazine,"Outlaw
Surplus
Subsistence",Rampage,None,overall worse than Boondoggle despite post-buff Rampage,51,D
,Enyo-D,17,Kinetic,Precision,Banshee,,24,No,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Feeding Frenzy,"Surrounded
Rampage",Häkke Breach Armaments,better single target perks than Pizzicato,52,D
,Pizzicato-22,18,Kinetic,Adaptive,Banshee,,40,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Ambitious Assassin,"Swashbuckler
Multikill Clip",Suros Synergy,"terrible in every way, technically not worst frame",53,D