Role,🖼️,Name,Source,#,Priority,Column 1,Column 2,Alternatives
DPS heavy sniper,,Refurbished A499,Renegades,1,high,Snapshot Sights,Aggregate Charge,None
energy LP HC,,Uncivil Discourse,Renegades,1,high,"Air Trigger
Cooling Baubles",Precision Instrument,"Agape
Yesterday's Question
Maahes HC4"
energy rocket pulse,,Psi Aeterna IV,Solo / Fireteam Ops,1,high,"Blast Distributor
Trickle Charge",Elemental Honing,None
energy rocket sidearm,,Returned Memory,Crucible,1,high,"Heal Clip
Impromptu Ammunition","Incandescent
Redirection","Aberrant Action
Lotus-Eater
Indebted Kindness"
exotic burst damage,,Parasite,Exotic quest,1,high,N/A,N/A,"Legend of Acrius
Still Hunt
Whirling Ovation"
exotic debuff,,Tractor Cannon,Quest,1,high,N/A,N/A,Divinity
exotic multitool,,Choir of One,Exotic quest,1,high,"Destabilizing Rounds
Onslaught",N/A,"Praxic Blade
Ergo Sum"
exotic total damage,,Finality's Auger,Sundered Doctrine,1,high,N/A,N/A,"Wolfsbane
New Land Beyond
Anarchy"
grapple melee setup,,The Navigator,Ghosts of the Deep,1,high,N/A,N/A,None
kinetic rocket pulse,,Mint Retrograde,Pinnacle Ops,1,high,"Rewind Rounds
Envious Arsenal","Elemental Honing
Bait and Switch
Master of Arms",None
movement GL,,Gizmo Weft,Events,1,high,"Air Trigger
Slideshot
Envious Arsenal","Bipod
Chain Reaction
Aggregate Charge","Theodolite
The Mountaintop
Alethonym"
movement sword,,Sullen Claw,Equilibrium,1,high,Eager Edge,"Assassin's Blade
Destabilizing Rounds
Binary Orbit","The Slammer
Falling Guillotine"
add clear area denial,,VS Velocity Baton,Vesper's Host,2,medium,"Repulsor Brace
Demolitionist","Destabilizing Rounds
Attrition Orbs","Motif-41
Festival Flight"
damage area denial,,Motif-41,Solo / Fireteam Ops,2,medium,Auto-Loading Holster,"Vorpal Weapon
Attrition Orbs","Lost Signal
Psychopomp"
DPS crossbow,,A Good Shout,Pinnacle Ops,2,medium,Envious Arsenal,High Ground,"Submersion
Opaque Hourglass"
DPS sword,,Synanceia,Call to Arms,2,medium,"Relentless Strikes
Attrition Orbs
Sharp Harvest","Elemental Honing
Eager Edge
Burning Ambition","Bequest
Geodetic HSm
Summum Bonum"
energy 12p shotgun,,IKELOS_SG_V1.0.3,Operation: Seraph's Shield,2,medium,"Grave Robber
Threat Detector
Pugilist","One-Two Punch
Surrounded
Cascade Point","Starscape Null
Dead Weight
Prophet of Doom"
energy orb primary,,Yeartide Apex,Solstice 2025,2,medium,Attrition Orbs,"Chaos Reshaped
Incandescent
Burning Ambition",MIDA Mini-Tool
energy StL primary,,Tarnished Mettle,Season 18,2,medium,Shoot to Loot,Explosive Payload,"Sublimation
Nature Reclaimed
Brya's Love"
energy trace,,Keraunios,Guardian Games,2,medium,"Shoot to Loot
Fourth Time's the Charm","Chain Reaction
Rolling Storm
Detonator Beam","Chronophage
Retraced Path
Path of Least Resistance"
exotic add clear heavy,,Gjallarhorn,Exotic quest,2,medium,N/A,N/A,"Xenophage
Thunderlord"
exotic energy primary,,Graviton Lance,Quest,2,medium,N/A,N/A,"Sunshot
Trinity Ghoul"
kinetic 12p shotgun,,Perfect Paradox,Season 24,2,medium,"Pugilist
Field Prep
Threat Detector","One-Two Punch
Trench Barrel
Vorpal Weapon","Swordbreaker
Wastelander M5
Deadlock"
kinetic damage sniper,,Conspiracy Honed,Equilibrium,2,medium,Vorpal Weapon,Bait and Switch,"Praedyth's Revenge
Lance Ephemeral
Something Something"
kinetic orb primary,,Multimach CCX,Iron Banner,2,medium,Attrition Orbs,Kinetic Tremors,"Peculiar Charm
M-17 ""Fast Talker"""
kinetic rocket sidearm,,Tinasha's Mastery,Iron Banner,2,medium,"Air Trigger
Impulse Amplifier
Deconstruct","Chill Clip
Surrounded
Desperate Measures",The Call
kinetic StL primary,,Corundum Hammer,Trials of Osiris,2,medium,"Shoot to Loot
Firefly","Explosive Payload
Tear","Vulpecula
Hung Jury SR4
Perses-D"
kinetic trace,,Unsworn,Sundered Doctrine,2,medium,"Shoot to Loot
Tear","Detonator Beam
Hatchling","Action Item
Incisor
Ribbontail"
special QoL StL,,Lotus-Eater,Season 24,2,medium,Shoot to Loot,"Destabilizing Rounds
Withering Gaze",Volta Bracket
survivability primary,,Word of Crota,Crota's End,2,medium,"Repulsor Brace
Dragonfly",Destabilizing Rounds,"Drang
Evening SI4
Compact Defender"
teammate support,,No Hesitation,Pale Heart,2,medium,Physic,"Incandescent
Circle of Life
Attrition Orbs","The Navigator
Cusp Sempiternal
Adamantite"
Withering primary,,Aisha's Embrace,Trials of Osiris,2,medium,Shoot to Loot,Withering Gaze,"Joxer's Longsword
Exalted Truth
High Tyrant"
ammoless damage,,Outbreak Perfected,Zero Hour,3,low,Rewind Rounds,N/A,"M-17 ""Fast Talker""
Antedate
Agape
"
DPS rocket,,Hezen Vengeance,Vault of Glass,3,low,"Envious Arsenal
Cluster Bomb
Overflow","Bait and Switch
Elemental Honing
Bipod","The When and Where
Cold Comfort (RotN)
Tomorrow's Answer"
energy damage fusion,,The Beacon,Guardian Games,3,low,"Rewind Rounds
Lead from Gold
Demolitionist","Bait and Switch
Controlled Burst
Deconstruct","Finite Maybe
Zealot's Reward
Techeun Force"
energy DPS shotgun,,Pure Recollection,Crucible,3,low,"Envious Arsenal
High-Impact Reserves",Bait and Switch,"Unvoiced
Arcane Embrace
A Sudden Death"
energy glaive,,Forthcoming Deviance,Salvation's Edge,3,low,"Demolitionist
Grave Robber
Disruption Break","Chaos Reshaped
Destabilizing Rounds
Close to Melee","The Heron
Nezarec's Whisper
The Enigma"
exotic burst roam,,The Fourth Horseman,Kiosk,3,low,N/A,N/A,"Still Hunt
Izanagi's Burden
Choir of One"
kinetic blinding GL,,Liturgy,Season 25,3,low,"Slideways
Envious Arsenal","Chill Clip
Lead from Gold
Chain Reaction","The Militia's Birthright
Ignition Code
Pardon Our Dust"
kinetic glaive,,Rake Angle,Nightfall,3,low,"Impulse Amplifier
Lead from Gold
Overflow","Chill Clip
Close to Melee",Refusal of the Call
machine gun,,Song of Ir Yût,Crota's End,3,low,"Demolitionist
Reconstruction","High Ground
Bait and Switch","Qua Vinctus IV
Corrective Measure
Ulterior Observation"
Withering special,,Pure Recollection,Crucible,3,low,Envious Arsenal,Withering Gaze,"Monody-44
Glacioclasm
Sovereignty"
add clear rocket,,Tomorrow's Answer,Trials of Osiris,4,niche,Air Trigger,Bipod,"Haliaetus
Folded Root
Micromort"
DPS HGL,,Outrageous Fortune,Pinnacle Ops,4,niche,Envious Arsenal,"Bait and Switch
Explosive Light","The Ever-Present
Cataphract GL3
VS Chill Inhibitor"
DPS linear,,Scintillation,Nightfall,4,niche,Rewind Rounds,"Bait and Switch
Surrounded","Mistral Lift
Doomed Petitioner
Cataclysmic"
energy add clear wave,,Romantic Death,Call to Arms,4,niche,"Repulsor Brace
Proximity Power","Destabilizing Rounds
Chain Reaction
Surrounded","Martyr's Retribution
Forbearance"
energy blinding GL,,Wilderflight,Spire of the Watcher,4,niche,"Auto-Loading Holster
Demolitionist","Frenzy
Vorpal Weapon
Lead from Gold","Wild Style
Empty Vessel"
energy damage sniper,,Omniscient Eye,Garden of Salvation,4,niche,"Fourth Time's the Charm
Envious Arsenal","Precision Instrument
Vorpal Weapon","IKELOS_SR_V1.0.3
Shoreline Dissident
Keen Thistle"
exotic kinetic primary,,Khvostov 7G-0X,Exotic quest,4,niche,N/A,N/A,"Necrochasm
Bad Juju
Outbreak Perfected"
kinetic add clear wave,,Permafrost,Dawning 2025,4,niche,"Rimestealer
Demolitionist
Blast Distributor","Crystalline Corpsebloom
Reaper's Tithe
Wellspring","Tusk of the Boar
New Pacific Epitaph"
kinetic damage fusion,,Riptide,Crucible,4,niche,"Auto-Loading Holster
Overflow",Controlled Burst,"Lionfish-4fr
Scatter Signal
Burden of Guilt"
kinetic DPS shotgun,,Perfect Paradox,Season 24,4,niche,"Pugilist
Field Prep
Threat Detector","Trench Barrel
One-Two Punch","Imperial Decree
Heritage"
kinetic LP HC,,Aureus Neutralizer,Trials of Osiris,4,niche,"Vorpal Weapon
Grave Robber","Cascade Point
One-Two Punch
Trench Barrel","Unloved
Warden's Law"